x y
998.8739174031144 707.957480186348
1403.4949258964227 1402.7998662563627
305.60074106352107 1498.7272908976129
908.4919019813138 1296.6671834576478
282.7002547701945 1505.9440287476748
902.4325248828973 1313.57356528939
289.1981625121126 1483.972966711974
700.7103955520057 611.7042812518162
289.92265092672676 1487.832219522439
688.7507057673336 604.085882590831
595.8990050289348 997.321275557183
595.813952554661 999.363879614261
682.755774177752 593.1819762092831
892.5804670401371 1295.731624246302
910.0115695026614 1296.7742719182372
710.1462883965471 600.9140953075113
1405.462517451884 1395.0777559675162
905.55342783738 1309.5064874938055
1016.9753928880905 698.2960152647114
286.3354327341185 1514.6885817725592
691.8459655350943 615.1933927132028
300.576920871355 1496.4058163480984
1406.6124803715811 1395.8806200826205
587.3057516421661 1007.7174703792053
1396.8181636237698 1406.8408313601458
603.1424797788602 1000.0207983453432
1016.2755533431131 702.0897630429737
1393.9956400475185 1407.8678502833666
1006.0966216529753 700.1845597576979
296.7110772908628 1501.816148641815
610.6276801436507 989.1708034193424
1395.6596830070428 1395.2890510716375
697.3268027844842 602.877420246557
990.1404063717489 711.5839462765456
703.2015960546255 592.9441815195228
991.6915966164095 703.0938730941028
314.6757582459947 1503.7246045991294
897.77656823088 1294.2125878059994
705.2541615789179 614.048105667499
307.6469172994186 1509.6543185106204
603.6390924972409 995.0343273404933
994.6814415549176 711.1378274654659
296.2906512018006 1481.0006051407754
580.9421004543339 1014.5056211686102
990.8292922018321 713.4444191598038
698.3091995575521 614.5176259525541
1391.303332858706 1412.3511653172438
904.4734447072899 1288.7222748649301
590.5370321969378 988.6588870489552
914.0978227319425 1293.1363967853488
699.1555002902737 597.4264372068429
897.5673146510554 1288.4143889168436
1394.0226554543783 1398.3243006690277
596.6438869330876 1010.0941172153142
891.9452418400065 1300.2644890330043
996.0498708927131 708.3993825122938
1413.592005777006 1405.4185254628667
606.2817195055468 1006.1058328183906
1003.4855924113677 692.2307630965352
1404.8864114701996 1398.5738188246282
